Player_id,NAME,Player_position,TEAM, SALARY 
292,Ty Jerome, SG,Oklahoma City Thunder," $2,412,840.00 "
293,Leandro Bolmaro, F,Minnesota Timberwolves," $2,353,320.00 "
294,Usman Garuba, PF,Houston Rockets," $2,353,320.00 "
295,Willy Hernangomez, C,New Orleans Pelicans," $2,327,220.00 "
296,Edmond Sumner, PG,Brooklyn Nets," $2,320,000.00 "
297,Nassir Little, SF,Portland Trail Blazers," $2,316,240.00 "
298,R.J. Hampton, PG,Orlando Magic," $2,303,040.00 "
299,Josh Christopher, SG,Houston Rockets," $2,259,240.00 "
300,Dylan Windler, SG,Cleveland Cavaliers," $2,239,200.00 "
301,Immanuel Quickley, SG,New York Knicks," $2,210,640.00 "
302,John Konchar, SG,Memphis Grizzlies," $2,200,000.00 "
303,Quentin Grimes, SG,New York Knicks," $2,168,760.00 "
304,Jordan Poole, SG,Golden State Warriors," $2,161,440.00 "
305,Bol Bol, C,Denver Nuggets," $2,161,152.00 "
306,Keldon Johnson, SF,San Antonio Spurs," $2,145,720.00 "
307,Payton Pritchard, PG,Boston Celtics," $2,137,440.00 "
308,Jahlil Okafor, C,Atlanta Hawks," $2,130,023.00 "
309,Bones Hyland, PG,Denver Nuggets," $2,096,880.00 "
310,Udoka Azubuike, C,Utah Jazz," $2,075,880.00 "
311,Jaden McDaniels, PF,Minnesota Timberwolves," $2,063,280.00 "
312,Malachi Flynn, PG,Toronto Raptors," $2,048,040.00 "
313,Cam Thomas, SG,Brooklyn Nets," $2,036,280.00 "
314,Desmond Bane, SG,Memphis Grizzlies," $2,033,160.00 "
315,Jaden Springer, G,Philadelphia 76ers," $2,023,800.00 "
316,Day'Ron Sharpe, C,Brooklyn Nets," $2,009,040.00 "
317,Theo Maledon, PG,Oklahoma City Thunder," $2,000,000.00 "
318,Jeremiah Robinson-Earl, PF,Oklahoma City Thunder," $2,000,000.00 "
319,Kenrich Williams, SF,Oklahoma City Thunder," $2,000,000.00 "
320,Abdel Nader, SF,Phoenix Suns," $2,000,000.00 "
321,Jordan McLaughlin, PG,Minnesota Timberwolves," $2,000,000.00 "
322,Garrison Mathews, SG,Houston Rockets," $2,000,000.00 "
323,Santi Aldama, PF,Memphis Grizzlies," $1,994,520.00 "
324,Damian Jones, C,Sacramento Kings," $1,977,011.00 "
325,Jontay Porter, PF,Memphis Grizzlies," $1,950,000.00 "
326,Denzel Valentine, G,Utah Jazz," $1,939,350.00 "
327,PJ Dozier, G,Denver Nuggets," $1,910,860.00 "
328,Damion Lee, SG,Golden State Warriors," $1,910,860.00 "
329,Killian Tillie, SF,Memphis Grizzlies," $1,901,625.00 "
330,Shake Milton, SG,Philadelphia 76ers," $1,846,738.00 "
331,Wes Iwundu, F,Atlanta Hawks," $1,824,003.00 "
332,Dwayne Bacon, SG,Los Angeles Lakers," $1,824,003.00 "
333,Mitchell Robinson, C,New York Knicks," $1,802,057.00 "
